DateParsed,WeekID,Code,League,Home,Away,MatchID,Market,MarketName,Side,Selection,Odd,EffectiveOdd,PriceHaircut,MarketProbability,CalibratedMarketProbability,RawSportsProbability,CalibratedSportsProbability,DecisionProbability,ModelProbability,BreakEvenProbability,ExpectedValue,RequiredOddForOperation,OddGapToOperation,ModelMarketDifference,ProfileSample,ProfileWins,EmpiricalHitRate,SportsSample,SportsReliability,SportsEmpiricalHitRate,Reliability,CalibrationGap,Brier,SampleConfidence,SampleConfidenceReason,ProfileLevel,SportsProfileLevel,Confidence,Status,StatusBase,Stake,Score,Reason,LambdaHome,LambdaAway,ValidatedMarket,ModelVersion,InputID,Time,Bookmaker,StatusOrder,StandingsAvailable,Season,HomePosition,AwayPosition,HomePoints,AwayPoints,HomeGames,AwayGames,HomePPG,AwayPPG,HomeGFPG,AwayGFPG,HomeGAPG,AwayGAPG
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,1X2,Resultado final 1X2,H,Corinthians,1.49,1.4602,0.02,0.6273686570196312,0.6273686570196312,0.4238040755195496,0.4238040755195496,0.6693032506735315,0.6693032506735315,0.6848376934666485,-0.022683393366509375,1.5245827093151747,-0.03458270931517471,-0.2035645815000816,1229,826,0.6720911310008136,1229,0.9854783069651494,0.6720911310008136,0.9854783069651494,0.0021782539552276,0.2199190228962484,FORTE,1229 previsões fora da amostra; desvio de calibração 0.2%.,GLOBAL,GLOBAL,FORTE,AGUARDAR PREÇO,AGUARDAR PREÇO,0.0,-0.022683393366509375,Leitura próxima do ponto de equilíbrio; precisa de cotação maior para entrar.,1.4069907155833847,1.1330342618810776,True,V28.0,a1,19:30,Pixbet,2,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,1X2,Resultado final 1X2,D,Empate,4.01,3.9297999999999997,0.02,0.233112044628242,0.233112044628242,0.28448442649686534,0.28448442649686534,0.20091028321327933,0.20091028321327933,0.2544658761260115,-0.21046276902845495,5.078924517676761,-1.068924517676761,0.051372381868623335,285,69,0.2421052631578947,285,0.9220463371282986,0.2421052631578947,0.9220463371282986,0.0116930494307552,0.1850358982484335,MODERADA,285 previsões fora da amostra; desvio de calibração 1.2%.,LIGA,LIGA,MODERADA,FORA DA FAIXA,FORA DA FAIXA,0.0,-0.21046276902845495,Odd efetiva fora da faixa testada (1.20 a 3.00).,1.4069907155833847,1.1330342618810776,True,V28.0,a1,19:30,Pixbet,5,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,1X2,Resultado final 1X2,A,Remo,6.7,6.566,0.02,0.13951929835212692,0.13951929835212692,0.291711497983585,0.291711497983585,0.15078529297156631,0.15078529297156631,0.15229972586049345,-0.009943766348695648,6.767292374182177,-0.06729237418217693,0.15219219963145805,354,60,0.1694915254237288,354,0.955545795532616,0.1694915254237288,0.955545795532616,0.0066681306701076,0.1408209581947117,FORTE,354 previsões fora da amostra; desvio de calibração 0.7%.,LIGA,LIGA,FORTE,FORA DA FAIXA,FORA DA FAIXA,0.0,-0.009943766348695648,Odd efetiva fora da faixa testada (1.20 a 3.00).,1.4069907155833847,1.1330342618810776,True,V28.0,a1,19:30,Pixbet,5,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,OU25,"Total de gols 2,5",O25,"Mais de 2,5 gols",1.95,1.911,0.02,0.4813829787234043,0.4813829787234043,0.46640553228164283,0.46640553228164283,0.4922788072018022,0.4922788072018022,0.5232862375719518,-0.05925519943735591,2.0728257002682735,-0.12282570026827355,-0.014977446441761466,3432,1650,0.4807692307692308,3432,0.9699360629475533,0.4807692307692308,0.9699360629475533,0.004509590557867,0.2490043572584135,FORTE,3432 previsões fora da amostra; desvio de calibração 0.5%.,GLOBAL,GLOBAL,FORTE,DESCARTAR,DESCARTAR,0.0,-0.05925519943735591,Preço atual não remunera a probabilidade estimada pelo modelo.,1.4069907155833847,1.1330342618810776,True,V28.0,a1,19:30,Pixbet,4,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,OU25,"Total de gols 2,5",U25,"Menos de 2,5 gols",1.81,1.7738,0.02,0.5186170212765957,0.5186170212765957,0.533594467718357,0.533594467718357,0.5202925776771505,0.5202925776771505,0.5637614161686774,-0.07710502571627031,1.9612199117291367,-0.15121991172913662,0.014977446441761244,3464,1792,0.5173210161662818,3464,0.9555656282506286,0.5173210161662818,0.9555656282506286,0.0066651557624057,0.2490258930634354,FORTE,3464 previsões fora da amostra; desvio de calibração 0.7%.,GLOBAL,GLOBAL,FORTE,DESCARTAR,DESCARTAR,0.0,-0.07710502571627031,Preço atual não remunera a probabilidade estimada pelo modelo.,1.4069907155833847,1.1330342618810776,True,V28.0,a1,19:30,Pixbet,4,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,BTTS,Ambas marcam,BTTS_Y,Ambas marcam — Sim,2.08,2.0384,0.02,0.44680851063829785,0.44680851063829785,0.5217424319297593,0.5217424319297593,0.47303538309030935,0.47303538309030935,0.4905808477237048,-0.035764675108713284,2.1571497603393768,-0.0771497603393767,0.07493392129146148,0,0,0.47303538309030935,0,0.0,0.47303538309030935,0.0,,,NÃO VALIDADA,Mercado sem perfil financeiro fora da amostra.,EXPERIMENTAL,EXPERIMENTAL,NÃO VALIDADA,EXPERIMENTAL,EXPERIMENTAL,0.0,-0.035764675108713284,"Ambas marcam é calculado e exibido, mas não entra na carteira: faltam odds históricas completas para backtest financeiro.",1.4069907155833847,1.1330342618810776,False,V28.0,a1,19:30,Pixbet,3,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Corinthians,Remo,BRA|2026-07-23|Corinthians|Remo,BTTS,Ambas marcam,BTTS_N,Ambas marcam — Não,1.68,1.6463999999999999,0.02,0.5531914893617021,0.5531914893617021,0.47825756807024067,0.47825756807024067,0.5269646169096907,0.5269646169096907,0.6073858114674442,-0.1324054547198854,1.936388384573798,-0.256388384573798,-0.07493392129146148,0,0,0.5269646169096907,0,0.0,0.5269646169096907,0.0,,,NÃO VALIDADA,Mercado sem perfil financeiro fora da amostra.,EXPERIMENTAL,EXPERIMENTAL,NÃO VALIDADA,EXPERIMENTAL,EXPERIMENTAL,0.0,-0.1324054547198854,"Ambas marcam é calculado e exibido, mas não entra na carteira: faltam odds históricas completas para backtest financeiro.",1.4069907155833847,1.1330342618810776,False,V28.0,a1,19:30,Pixbet,3,True,2026,12,19,24,18,18,18,1.3333333333333333,1.0,1.0,1.1666666666666667,1.0555555555555556,1.6111111111111112
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,1X2,Resultado final 1X2,H,Botafogo RJ,1.78,1.7444,0.02,0.5386766703793006,0.5386766703793006,0.5787722849634833,0.5787722849634833,0.5945398294776622,0.5945398294776622,0.5732630130703967,0.03711527854083374,1.71629908152965,0.06370091847035009,0.04009561458418276,188,100,0.5319148936170213,188,0.696895454887912,0.5319148936170213,0.696895454887912,0.0454656817668132,0.2503050033068251,MODERADA,188 previsões fora da amostra; desvio de calibração 4.5%.,LIGA,LIGA,MODERADA,OPERAR,QUALIFICADA,10.0,0.03711527854083374,Selecionada na carteira semanal pelo maior EV entre preços qualificados.,2.3067810107461137,1.3740259463149822,True,V28.0,a2,19:30,Pixbet,0,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,1X2,Resultado final 1X2,D,Empate,3.66,3.5868,0.02,0.2619793642828292,0.2619793642828292,0.20818606302147238,0.20818606302147238,0.2559099425271779,0.2559099425271779,0.2788000446080071,-0.08210221814351826,3.9873720934345394,-0.3273720934345392,-0.05379330126135681,602,165,0.2740863787375415,602,0.9651697337405833,0.2740863787375415,0.9651697337405833,0.0052245399389125,0.199260432314094,FORTE,602 previsões fora da amostra; desvio de calibração 0.5%.,LIGA,LIGA,FORTE,FORA DA FAIXA,FORA DA FAIXA,0.0,-0.08210221814351826,Odd efetiva fora da faixa testada (1.20 a 3.00).,2.3067810107461137,1.3740259463149822,True,V28.0,a2,19:30,Pixbet,5,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,1X2,Resultado final 1X2,A,Vitoria,4.81,4.713799999999999,0.02,0.19934396533787008,0.19934396533787008,0.21304165201504438,0.21304165201504438,0.17523230365798906,0.17523230365798906,0.21214306928592647,-0.17398996701697134,5.8231738210603865,-1.013173821060387,0.013697686677174303,354,60,0.1694915254237288,354,0.955545795532616,0.1694915254237288,0.955545795532616,0.0066681306701076,0.1408209581947117,FORTE,354 previsões fora da amostra; desvio de calibração 0.7%.,LIGA,LIGA,FORTE,FORA DA FAIXA,FORA DA FAIXA,0.0,-0.17398996701697134,Odd efetiva fora da faixa testada (1.20 a 3.00).,2.3067810107461137,1.3740259463149822,True,V28.0,a2,19:30,Pixbet,5,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,OU25,"Total de gols 2,5",O25,"Mais de 2,5 gols",1.78,1.7444,0.02,0.5278514588859416,0.5278514588859416,0.7111577510613775,0.7111577510613775,0.5148752067982119,0.5148752067982119,0.5732630130703967,-0.10185168926119925,1.9818553113302675,-0.20185531133026746,0.18330629217543581,3362,1777,0.5285544318857823,3362,0.970338871756054,0.5285544318857823,0.970338871756054,0.0044491692365919,0.2485260843758632,FORTE,3362 previsões fora da amostra; desvio de calibração 0.4%.,GLOBAL,GLOBAL,FORTE,DESCARTAR,DESCARTAR,0.0,-0.10185168926119925,Preço atual não remunera a probabilidade estimada pelo modelo.,2.3067810107461137,1.3740259463149822,True,V28.0,a2,19:30,Pixbet,4,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,OU25,"Total de gols 2,5",U25,"Menos de 2,5 gols",1.99,1.9502,0.02,0.4721485411140583,0.4721485411140583,0.2888422489386228,0.2888422489386228,0.499252463924422,0.499252463924422,0.5127679212388473,-0.02635784485459225,2.0438720627321287,-0.053872062732128745,-0.18330629217543548,3203,1501,0.4686231657820793,3203,0.954596108336978,0.4686231657820793,0.954596108336978,0.0068105837494533,0.2486417514323319,FORTE,3203 previsões fora da amostra; desvio de calibração 0.7%.,GLOBAL,GLOBAL,FORTE,AGUARDAR PREÇO,AGUARDAR PREÇO,0.0,-0.02635784485459225,Leitura próxima do ponto de equilíbrio; precisa de cotação maior para entrar.,2.3067810107461137,1.3740259463149822,True,V28.0,a2,19:30,Pixbet,2,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,BTTS,Ambas marcam,BTTS_Y,Ambas marcam — Sim,1.77,1.7346,0.02,0.5329815303430079,0.5329815303430079,0.6782384909506401,0.6782384909506401,0.5838214665556791,0.5838214665556791,0.5765017871555402,0.012696715887480892,1.7478085711464493,0.022191428853550743,0.14525696060763227,0,0,0.5838214665556791,0,0.0,0.5838214665556791,0.0,,,NÃO VALIDADA,Mercado sem perfil financeiro fora da amostra.,EXPERIMENTAL,EXPERIMENTAL,NÃO VALIDADA,EXPERIMENTAL,EXPERIMENTAL,0.0,0.012696715887480892,"Ambas marcam é calculado e exibido, mas não entra na carteira: faltam odds históricas completas para backtest financeiro.",2.3067810107461137,1.3740259463149822,False,V28.0,a2,19:30,Pixbet,3,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-23,2026-30,BRA,Brasileirão Série A,Botafogo RJ,Vitoria,BRA|2026-07-23|Botafogo RJ|Vitoria,BTTS,Ambas marcam,BTTS_N,Ambas marcam — Não,2.02,1.9796,0.02,0.467018469656992,0.467018469656992,0.32176150904935985,0.32176150904935985,0.41617853344432076,0.41617853344432076,0.5051525560719338,-0.1761329751936226,2.451851984820893,-0.4318519848208928,-0.14525696060763216,0,0,0.41617853344432076,0,0.0,0.41617853344432076,0.0,,,NÃO VALIDADA,Mercado sem perfil financeiro fora da amostra.,EXPERIMENTAL,EXPERIMENTAL,NÃO VALIDADA,EXPERIMENTAL,EXPERIMENTAL,0.0,-0.1761329751936226,"Ambas marcam é calculado e exibido, mas não entra na carteira: faltam odds históricas completas para backtest financeiro.",2.3067810107461137,1.3740259463149822,False,V28.0,a2,19:30,Pixbet,3,True,2026,9,10,25,25,18,18,1.3888888888888888,1.3888888888888888,1.8333333333333333,1.2222222222222223,1.7777777777777777,1.3888888888888888
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,1X2,Resultado final 1X2,H,Santos,1.4,1.3719999999999999,0.02,0.6669009135628954,0.6669009135628954,0.6096395687490197,0.6096395687490197,0.7177285524043269,0.7177285524043269,0.728862973760933,-0.015276426101263563,1.4217187819086052,-0.021718781908605322,-0.05726134481387568,955,706,0.7392670157068063,955,0.895128546040198,0.7392670157068063,0.895128546040198,0.0157307180939703,0.1930819850324935,FORTE,955 previsões fora da amostra; desvio de calibração 1.6%.,GLOBAL,GLOBAL,FORTE,AGUARDAR PREÇO,AGUARDAR PREÇO,0.0,-0.015276426101263563,Leitura próxima do ponto de equilíbrio; precisa de cotação maior para entrar.,1.833714173390625,0.8016794808401384,True,V28.0,a3,19:30,Pixbet,2,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,1X2,Resultado final 1X2,D,Empate,4.55,4.459,0.02,0.2052002810962755,0.2052002810962755,0.23999955876369294,0.23999955876369294,0.17786503339257675,0.17786503339257675,0.2242655303879794,-0.2068998161025003,5.7369801348930745,-1.1869801348930746,0.034799277667417444,136,20,0.1470588235294117,136,0.7850706633499187,0.1470588235294117,0.7850706633499187,0.0322394004975122,0.1269744263611631,MODERADA,136 previsões fora da amostra; desvio de calibração 3.2%.,LIGA,LIGA,MODERADA,FORA DA FAIXA,FORA DA FAIXA,0.0,-0.2068998161025003,Odd efetiva fora da faixa testada (1.20 a 3.00).,1.833714173390625,0.8016794808401384,True,V28.0,a3,19:30,Pixbet,5,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,1X2,Resultado final 1X2,A,Chapecoense-SC,7.3,7.154,0.02,0.12789880534082923,0.12789880534082923,0.15036087248728755,0.15036087248728755,0.1070602105044503,0.1070602105044503,0.1397819401733296,-0.2340912540511625,9.531161562800119,-2.2311615628001187,0.02246206714645832,208,32,0.1538461538461538,208,0.8363507082744507,0.1538461538461538,0.8363507082744507,0.0245473937588324,0.1299811565693132,MODERADA,208 previsões fora da amostra; desvio de calibração 2.5%.,LIGA,LIGA,MODERADA,FORA DA FAIXA,FORA DA FAIXA,0.0,-0.2340912540511625,Odd efetiva fora da faixa testada (1.20 a 3.00).,1.833714173390625,0.8016794808401384,True,V28.0,a3,19:30,Pixbet,5,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,OU25,"Total de gols 2,5",O25,"Mais de 2,5 gols",1.66,1.6267999999999998,0.02,0.5631578947368422,0.5631578947368422,0.48907356069339947,0.48907356069339947,0.5721136315818396,0.5721136315818396,0.6147037128104255,-0.06928554414266352,1.7835760361870332,-0.12357603618703328,-0.07408433404344272,2685,1543,0.5746741154562384,2685,0.9878382311015027,0.5746741154562384,0.9878382311015027,0.0018242653347746,0.2445582255764396,FORTE,2685 previsões fora da amostra; desvio de calibração 0.2%.,GLOBAL,GLOBAL,FORTE,DESCARTAR,DESCARTAR,0.0,-0.06928554414266352,Preço atual não remunera a probabilidade estimada pelo modelo.,1.833714173390625,0.8016794808401384,True,V28.0,a3,19:30,Pixbet,4,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,OU25,"Total de gols 2,5",U25,"Menos de 2,5 gols",2.14,2.0972,0.02,0.4368421052631579,0.4368421052631579,0.5109264393066005,0.5109264393066005,0.4378301579494901,0.4378301579494901,0.4768262445164982,-0.08178259274832944,2.330602734275387,-0.19060273427538688,0.07408433404344261,2929,1260,0.4301809491293957,2929,0.978582566200196,0.4301809491293957,0.978582566200196,0.0032126150699706,0.2450555533919078,FORTE,2929 previsões fora da amostra; desvio de calibração 0.3%.,GLOBAL,GLOBAL,FORTE,DESCARTAR,DESCARTAR,0.0,-0.08178259274832944,Preço atual não remunera a probabilidade estimada pelo modelo.,1.833714173390625,0.8016794808401384,True,V28.0,a3,19:30,Pixbet,4,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,BTTS,Ambas marcam,BTTS_Y,Ambas marcam — Sim,1.87,1.8326,0.02,0.502659574468085,0.502659574468085,0.47077746812558874,0.47077746812558874,0.49150083724821125,0.49150083724821125,0.5456728145803776,-0.09927556565892803,2.0761066633748033,-0.2061066633748032,-0.03188210634249622,0,0,0.49150083724821125,0,0.0,0.49150083724821125,0.0,,,NÃO VALIDADA,Mercado sem perfil financeiro fora da amostra.,EXPERIMENTAL,EXPERIMENTAL,NÃO VALIDADA,EXPERIMENTAL,EXPERIMENTAL,0.0,-0.09927556565892803,"Ambas marcam é calculado e exibido, mas não entra na carteira: faltam odds históricas completas para backtest financeiro.",1.833714173390625,0.8016794808401384,False,V28.0,a3,19:30,Pixbet,3,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
2026-07-25,2026-30,BRA,Brasileirão Série A,Santos,Chapecoense-SC,BRA|2026-07-25|Santos|Chapecoense-SC,BTTS,Ambas marcam,BTTS_N,Ambas marcam — Não,1.89,1.8521999999999998,0.02,0.49734042553191493,0.49734042553191493,0.5292225318744113,0.5292225318744113,0.5084991627517886,0.5084991627517886,0.5398984990821726,-0.05815785075113722,2.006705690021742,-0.11670569002174225,0.03188210634249633,0,0,0.5084991627517886,0,0.0,0.5084991627517886,0.0,,,NÃO VALIDADA,Mercado sem perfil financeiro fora da amostra.,EXPERIMENTAL,EXPERIMENTAL,NÃO VALIDADA,EXPERIMENTAL,EXPERIMENTAL,0.0,-0.05815785075113722,"Ambas marcam é calculado e exibido, mas não entra na carteira: faltam odds históricas completas para backtest financeiro.",1.833714173390625,0.8016794808401384,False,V28.0,a3,19:30,Pixbet,3,True,2026,15,20,21,9,19,18,1.105263157894737,0.5,1.4210526315789473,0.9444444444444444,1.631578947368421,1.9444444444444444
