WeekID,Bets,Wins,ProfitUnits,HitRate,ROI
2022-28,1,0,-1.0,0.0,-1.0
2022-30,1,1,0.6659999999999999,1.0,0.6659999999999999
2022-31,3,2,0.6945999999999999,0.6666666666666666,0.23153333333333329
2022-32,4,2,-0.5209999999999999,0.5,-0.13024999999999998
2022-33,3,2,0.8219999999999998,0.6666666666666666,0.27399999999999997
2022-34,4,3,1.0273999999999996,0.75,0.2568499999999999
2022-35,4,3,1.2821999999999998,0.75,0.32054999999999995
2022-36,4,2,-0.6484000000000001,0.5,-0.16210000000000002
2022-37,4,2,-0.7464000000000002,0.5,-0.18660000000000004
2022-39,4,3,0.9489999999999998,0.75,0.23724999999999996
2022-40,2,1,-0.07920000000000016,0.5,-0.03960000000000008
2022-41,4,3,0.8607999999999998,0.75,0.21519999999999995
2022-42,4,2,-0.6778000000000002,0.5,-0.16945000000000005
2022-43,4,2,-0.7464000000000004,0.5,-0.1866000000000001
2022-44,4,1,-2.3634000000000004,0.25,-0.5908500000000001
2022-45,4,1,-2.3242000000000003,0.25,-0.5810500000000001
2022-48,2,2,1.4496,1.0,0.7248
2022-49,4,3,0.8509999999999998,0.75,0.21274999999999994
2022-50,3,0,-3.0,0.0,-1.0
2022-51,3,2,0.30259999999999976,0.6666666666666666,0.10086666666666659
2022-52,4,3,1.1842,0.75,0.29605
2023-01,4,2,-0.619,0.5,-0.15475
2023-02,4,2,-0.6974000000000002,0.5,-0.17435000000000006
2023-03,4,3,0.9783999999999997,0.75,0.24459999999999993
2023-04,4,3,0.9391999999999998,0.75,0.23479999999999995
2023-05,4,1,-2.2948,0.25,-0.5737
2023-06,4,2,-0.5406,0.5,-0.13515
2023-07,4,3,0.8901999999999997,0.75,0.22254999999999991
2023-08,4,2,-0.7660000000000002,0.5,-0.19150000000000006
2023-09,4,2,-0.6876000000000002,0.5,-0.17190000000000005
2023-10,4,4,2.4875999999999996,1.0,0.6218999999999999
2023-11,4,3,0.9195999999999995,0.75,0.22989999999999988
2023-13,4,3,0.9979999999999998,0.75,0.24949999999999994
2023-14,3,2,0.6063999999999998,0.6666666666666666,0.20213333333333328
2023-15,4,3,1.0372,0.75,0.2593
2023-16,3,3,2.2135999999999996,1.0,0.7378666666666666
2023-17,2,2,1.8023999999999996,1.0,0.9011999999999998
2023-18,4,3,0.9685999999999999,0.75,0.24214999999999998
2023-19,4,3,0.998,0.75,0.2495
2023-20,2,2,1.6357999999999997,1.0,0.8178999999999998
2023-21,4,1,-2.3928000000000003,0.25,-0.5982000000000001
2023-22,1,0,-1.0,0.0,-1.0
2023-24,1,0,-1.0,0.0,-1.0
2023-25,2,2,1.9984000000000002,1.0,0.9992000000000001
2023-26,1,0,-1.0,0.0,-1.0
2023-32,1,0,-1.0,0.0,-1.0
2023-33,4,2,-0.24659999999999993,0.5,-0.06164999999999998
2023-34,4,2,-0.16820000000000013,0.5,-0.04205000000000003
2023-35,4,3,1.4487999999999999,0.75,0.36219999999999997
2023-37,4,4,2.8991999999999996,1.0,0.7247999999999999
2023-38,4,2,-0.5406000000000002,0.5,-0.13515000000000005
2023-39,2,2,1.3516,1.0,0.6758
2023-40,4,4,2.6052,1.0,0.6513
2023-41,1,1,0.6954,1.0,0.6954
2023-42,1,1,0.9305999999999999,1.0,0.9305999999999999
2023-43,4,2,-0.6386000000000003,0.5,-0.15965000000000007
2023-44,4,3,1.0077999999999998,0.75,0.25194999999999995
2023-45,4,2,-0.021199999999999886,0.5,-0.005299999999999971
2023-47,4,2,-0.3740000000000001,0.5,-0.09350000000000003
2023-48,3,1,-1.0694000000000001,0.3333333333333333,-0.3564666666666667
2023-49,4,2,-0.31520000000000015,0.5,-0.07880000000000004
2023-50,3,3,2.635,1.0,0.8783333333333333
2023-51,3,3,2.3802000000000003,1.0,0.7934000000000001
2023-52,2,2,1.7338,1.0,0.8669
2024-01,4,2,-0.5406000000000002,0.5,-0.13515000000000005
2024-02,2,1,-0.2752000000000001,0.5,-0.13760000000000006
2024-03,2,2,1.6749999999999998,1.0,0.8374999999999999
2024-04,4,2,-0.6190000000000002,0.5,-0.15475000000000005
2024-05,4,2,-0.6288000000000002,0.5,-0.15720000000000006
2024-06,2,0,-2.0,0.0,-1.0
2024-07,3,2,0.6652,0.6666666666666666,0.22173333333333334
2024-08,1,1,1.0188000000000001,1.0,1.0188000000000001
2024-09,3,2,0.8317999999999999,0.6666666666666666,0.2772666666666666
2024-10,4,3,1.0568,0.75,0.2642
2024-11,4,2,-0.0506000000000002,0.5,-0.01265000000000005
2024-13,1,1,0.9501999999999999,1.0,0.9501999999999999
2024-14,4,3,1.0665999999999998,0.75,0.26664999999999994
2024-15,1,1,0.7542,1.0,0.7542
2024-16,4,3,1.3214,0.75,0.33035
2024-17,3,1,-1.2850000000000001,0.3333333333333333,-0.4283333333333334
2024-18,3,0,-3.0,0.0,-1.0
2024-20,1,0,-1.0,0.0,-1.0
2024-21,1,1,0.6954,1.0,0.6954
2024-32,2,1,-0.040000000000000036,0.5,-0.020000000000000018
2024-33,3,3,2.1351999999999998,1.0,0.7117333333333332
2024-34,4,3,1.243,0.75,0.31075
2024-35,4,3,1.1156,0.75,0.2789
2024-37,4,1,-2.2556000000000003,0.25,-0.5639000000000001
2024-38,3,2,0.3417999999999999,0.6666666666666666,0.11393333333333329
2024-39,4,2,-0.39359999999999995,0.5,-0.09839999999999999
2024-40,4,4,3.0363999999999995,1.0,0.7590999999999999
2024-41,1,0,-1.0,0.0,-1.0
2024-42,4,2,-0.6484000000000003,0.5,-0.16210000000000008
2024-43,4,4,2.9678,1.0,0.74195
2024-44,4,3,0.9881999999999997,0.75,0.24704999999999994
2024-45,4,1,-2.3634000000000004,0.25,-0.5908500000000001
2024-46,2,1,-0.18700000000000006,0.5,-0.09350000000000003
2024-47,4,2,-0.40339999999999976,0.5,-0.10084999999999994
2024-48,1,0,-1.0,0.0,-1.0
2024-49,4,4,3.1245999999999996,1.0,0.7811499999999999
2024-50,4,3,0.9783999999999999,0.75,0.24459999999999998
2024-51,4,2,-0.7170000000000003,0.5,-0.17925000000000008
2024-52,3,1,-1.2850000000000001,0.3333333333333333,-0.4283333333333334
2025-01,2,0,-2.0,0.0,-1.0
2025-02,3,2,0.20460000000000012,0.6666666666666666,0.06820000000000004
2025-03,4,2,-0.7170000000000003,0.5,-0.17925000000000008
2025-04,4,3,0.8607999999999998,0.75,0.21519999999999995
2025-05,4,2,-0.6680000000000001,0.5,-0.16700000000000004
2025-06,4,2,-0.6778000000000002,0.5,-0.16945000000000005
2025-07,4,3,1.1254,0.75,0.28135
2025-08,4,4,2.6443999999999996,1.0,0.6610999999999999
2025-09,4,1,-2.334,0.25,-0.5835
2025-10,4,3,0.8313999999999999,0.75,0.20784999999999998
2025-11,4,3,0.8607999999999996,0.75,0.2151999999999999
2025-12,1,1,0.6954,1.0,0.6954
2025-13,4,3,1.096,0.75,0.274
2025-14,4,2,-0.6680000000000001,0.5,-0.16700000000000004
2025-15,4,3,1.0273999999999999,0.75,0.25684999999999997
2025-16,4,1,-2.383,0.25,-0.59575
2025-17,4,3,0.8705999999999996,0.75,0.2176499999999999
2025-18,4,2,-0.6092000000000002,0.5,-0.15230000000000005
2025-19,4,2,-0.619,0.5,-0.15475
2025-20,3,2,0.36139999999999994,0.6666666666666666,0.12046666666666665
2025-21,1,1,0.8914,1.0,0.8914
2025-22,1,0,-1.0,0.0,-1.0
2025-31,1,1,0.6659999999999999,1.0,0.6659999999999999
2025-32,2,1,-0.35360000000000014,0.5,-0.17680000000000007
2025-33,4,1,-2.3536,0.25,-0.5884
2025-34,4,3,0.9195999999999995,0.75,0.22989999999999988
2025-35,4,3,1.096,0.75,0.274
2025-36,1,1,0.6365999999999998,1.0,0.6365999999999998
2025-37,4,2,-0.7562,0.5,-0.18905
2025-38,4,1,-2.3634000000000004,0.25,-0.5908500000000001
2025-39,4,2,-0.6483999999999999,0.5,-0.16209999999999997
2025-40,4,2,-0.7170000000000001,0.5,-0.17925000000000002
2025-42,4,0,-4.0,0.0,-1.0
2025-43,4,3,1.0077999999999998,0.75,0.25194999999999995
2025-44,4,2,-0.6386000000000001,0.5,-0.15965000000000001
2025-45,4,3,0.8901999999999999,0.75,0.22254999999999997
2025-46,1,1,0.764,1.0,0.764
2025-47,4,4,2.5071999999999997,1.0,0.6267999999999999
2025-48,4,3,0.9685999999999997,0.75,0.24214999999999992
2025-49,2,2,1.2535999999999998,1.0,0.6267999999999999
2025-50,4,3,0.9490000000000001,0.75,0.23725000000000002
2025-51,4,3,0.7627999999999999,0.75,0.19069999999999998
2025-52,3,2,0.33199999999999985,0.6666666666666666,0.11066666666666662
2026-01,4,2,-0.6288,0.5,-0.1572
2026-02,4,3,0.8901999999999999,0.75,0.22254999999999997
2026-03,4,3,1.096,0.75,0.274
2026-04,4,1,-2.3536,0.25,-0.5884
2026-05,4,1,-2.2654,0.25,-0.56635
2026-06,4,4,2.6444,1.0,0.6611
2026-07,4,2,-0.7464,0.5,-0.1866
2026-08,4,1,-2.3634000000000004,0.25,-0.5908500000000001
2026-09,4,3,0.9685999999999997,0.75,0.24214999999999992
2026-10,4,2,-0.6876000000000002,0.5,-0.17190000000000005
2026-11,4,3,0.9685999999999997,0.75,0.24214999999999992
2026-12,4,3,0.9979999999999998,0.75,0.24949999999999994
2026-13,1,0,-1.0,0.0,-1.0
2026-14,4,4,2.4092,1.0,0.6023
2026-15,4,4,2.6346,1.0,0.65865
2026-16,4,3,0.9489999999999996,0.75,0.2372499999999999
2026-17,4,4,2.7325999999999997,1.0,0.6831499999999999
2026-18,4,3,0.9685999999999997,0.75,0.24214999999999992
2026-19,1,0,-1.0,0.0,-1.0
2026-20,4,4,2.8502,1.0,0.71255
2026-21,1,0,-1.0,0.0,-1.0
